pos	HSC	MPP	LMPP	CLP	CMP	GMP-A	GMP-B	GMP-C	MEP	Mono	mDC	Ery	Mega	CD4	CD8	Bcell	Plasma	NK	pDC	chr
24370739	0.0	2.0057737891149968e-05	0.0	5.771337376137937e-05	3.4961794088215735e-05	0.00012495277219570547	0.0	0.0	0.00011128862273692188	0.00011153797130900451	0.0	0.00010233278949416054	0.0001824773451848687	2.4325152001284282e-05	6.216990304416308e-06	0.0001210999194407538	0.00022953495648397702	0.0	9.12479154350782e-05	chr1
24370839	0.0	2.858527915026163e-05	0.0	3.639250956927744e-05	3.4961794088215735e-05	9.741578685399787e-05	7.603592400374655e-06	2.3609054672727656e-05	0.0001225425267508619	0.0001333101832873819	0.0	0.0002918135094357722	0.00014237386326420074	2.1723531466387567e-05	2.236501706913399e-05	0.00014574296141335396	0.00016728277462973258	1.0783933544554655e-05	0.0002759967812542489	chr1
24370939	2.1865833288518226e-05	1.4292639575130815e-05	0.0	4.2641728384203864e-05	5.44371558957453e-05	0.000130578607910678	4.870409186185928e-05	7.331232766794377e-05	0.00010992451059028782	5.3359764830579995e-05	4.3773915117803864e-05	0.00028950277152709955	8.07261088618809e-05	2.2764179680346252e-05	4.101598798238291e-05	0.00013252244764837593	8.715304902609571e-05	2.3466446938502736e-05	0.0002782498162032631	chr1
24371039	9.732962378425795e-06	7.326479109941006e-06	0.0	0.00017461052571117962	8.51753775437739e-05	0.00017647358348019067	6.123974419761209e-05	3.9514102031196813e-05	5.877039482757201e-05	4.122443369854174e-05	7.602837888881724e-05	0.00019047103194836946	8.825362643950879e-06	3.4471472087381464e-05	4.473003413826798e-05	8.810151594743778e-05	7.039284608857525e-05	2.2631071804769627e-05	0.00031260859917573087	chr1
24371139	5.199801818611041e-06	9.128072333696991e-06	0.0	0.00013711521282162105	4.716322558208968e-05	8.290705264170031e-05	3.55519320341842e-05	0.0	6.320375139392258e-05	5.675051911747304e-05	2.483081734752617e-05	0.00014194548338178367	0.0	2.4845476108263623e-05	9.12363512206549e-06	7.900580045642786e-05	8.523759622405678e-05	2.2631071804769627e-05	0.0002224872012151598	chr1
24371239	3.186545217046254e-05	1.4532852004964946e-05	2.8243263220043405e-05	5.8448575974900126e-05	2.0296612004232625e-05	0.0	0.0	0.0	0.00010378601640639672	7.459659431164695e-05	0.0	9.903173176854247e-07	0.0	1.0276401112842022e-05	0.0	5.986249269144207e-05	8.843001589788633e-05	1.192308145419071e-05	0.0001678511037015636	chr1
24371339	3.2398765177499566e-05	4.576046788340202e-05	3.0480353376086446e-05	0.0	0.0	1.1547768046522543e-05	0.0	0.0	0.0001094698094174335	4.4972109489318256e-05	0.0	8.285654891301386e-05	1.3627398200218269e-05	0.0	0.0	5.933367294890777e-05	0.00010710566962445908	8.201864949379596e-06	7.040734215669614e-05	chr1
24371439	5.733114825648071e-06	1.441274579004788e-05	0.0	0.0	0.0	7.076709136202276e-05	1.7673214768438387e-05	0.0	0.0001265211802346418	0.0	0.0	0.0001449164341546338	3.8675853939667084e-05	0.0	0.0	4.2199884426049704e-05	0.0001216311791403835	9.87261521684581e-07	0.0	chr1
24371539	0.0	1.0929665557452976e-05	0.0	0.0	0.0	5.240910113421769e-05	5.2608639310700314e-05	0.0	0.00010799202242066756	0.0	0.0	4.555459661352953e-05	3.8675853939667084e-05	0.0	7.6703127132409e-06	1.607614643391535e-05	5.8261653095950384e-05	0.0	0.0	chr1
24371639	0.0	4.419908708948017e-05	0.0	5.330216048025483e-05	0.0	0.0	6.123974419761209e-05	4.498146206067059e-05	6.797813562941432e-05	0.0	0.0	0.0	4.0882194600654803e-05	0.0	3.4879737811790195e-05	0.0	3.6393580290691965e-05	8.277808143355333e-06	0.0	chr1
